Registro,CSPulpa.C,CSPulpa.H,CSPulpa.L
15060085,NA,NA,NA
15061756,NA,NA,NA
15061511,22,344,27
15060021,22,344,27
15061360,NA,NA,NA
15061710,28,345,30
15060016,23,333,29
15062122,NA,NA,NA
15061308,34,316,33
15062356,22,344,27
15061486,NA,NA,NA
15061960,NA,NA,NA
15061333,42,316,41
15061906,22,344,27
15061263,NA,NA,NA
15061765,28,345,30
15062124,22,344,27
15061909,NA,NA,NA
15061401,NA,NA,NA
15062088,NA,NA,NA
15061534,34,316,33
15061630,22,344,27
15061386,NA,NA,NA
15061740,NA,NA,NA
15060121,NA,NA,NA
15060006,36,328,37
15061444,NA,NA,NA
15062099,NA,NA,NA
15061752,NA,NA,NA
15061758,NA,NA,NA
15061527,NA,NA,NA
15062081,NA,NA,NA
15061282,NA,NA,NA
15061613,NA,NA,NA
15061470,NA,NA,NA
15061583,NA,NA,NA
15061225,NA,NA,NA
15062117,NA,NA,NA
15061680,NA,NA,NA
15061639,NA,NA,NA
15061477,33,324,31
15061585,NA,NA,NA
15061537,NA,NA,NA
15061646,NA,NA,NA
15061918,NA,NA,NA
15061504,NA,NA,NA
15061411,NA,NA,NA
15061503,NA,NA,NA
15061555,NA,NA,NA
15061442,NA,NA,NA
15061911,NA,NA,NA
15061747,NA,NA,NA
15061299,NA,NA,NA
15061656,NA,NA,NA
15061565,NA,NA,NA
15061288,NA,NA,NA
15061614,NA,NA,NA
15061388,NA,NA,NA
15061815,NA,NA,NA
15060187,NA,NA,NA
15061404,30,328,32
15061641,NA,NA,NA
15061307,NA,NA,NA
15061228,NA,NA,NA
15060056,NA,NA,NA
15061753,36,346,42
15060160,NA,NA,NA
15061247,NA,NA,NA
15061237,NA,NA,NA
15060933,NA,NA,NA
15060090,NA,NA,NA
15061410,NA,NA,NA
15061471,NA,NA,NA
15061658,NA,NA,NA
15062031,NA,NA,NA
15060846,NA,NA,NA
15061346,NA,NA,NA
15061600,NA,NA,NA
15061406,NA,NA,NA
15061216,33,10,43
15060087,28,345,30
15061549,55,329,36
15060013,NA,NA,NA
15061438,26,342,50
15061640,NA,NA,NA
15061811,NA,NA,NA
15061722,43,331,37
15060215,NA,NA,NA
15061564,NA,NA,NA
15061298,NA,NA,NA
15060907,28,345,30
15061449,NA,NA,NA
15060101,NA,NA,NA
15061964,NA,NA,NA
15062036,NA,NA,NA
15060042,NA,NA,NA
15061654,NA,NA,NA
15061801,NA,NA,NA
15061584,NA,NA,NA
15061480,NA,NA,NA
15062112,22,344,27
15061719,NA,NA,NA
15062052,NA,NA,NA
15060910,NA,NA,NA
15061760,NA,NA,NA
15061624,NA,NA,NA
15062332,NA,NA,NA
15061281,NA,NA,NA
15061935,NA,NA,NA
15061525,NA,NA,NA
15061659,NA,NA,NA
15061347,NA,NA,NA
15061951,NA,NA,NA
15061661,NA,NA,NA
15061291,NA,NA,NA
15061514,NA,NA,NA
15061623,NA,NA,NA
15061370,NA,NA,NA
15061327,NA,NA,NA
15061571,NA,NA,NA
15062337,NA,NA,NA
15062051,NA,NA,NA
15062053,NA,NA,NA
15061893,NA,NA,NA
15062097,NA,NA,NA
15061954,NA,NA,NA
15061557,NA,NA,NA
15062363,NA,NA,NA
15061942,NA,NA,NA
15062038,NA,NA,NA
15061520,NA,NA,NA
15061905,NA,NA,NA
15061496,NA,NA,NA
15061507,NA,NA,NA
15061543,NA,NA,NA
15061301,NA,NA,NA
15061285,NA,NA,NA
15061425,NA,NA,NA
15061428,NA,NA,NA
15061359,NA,NA,NA
15061917,NA,NA,NA
15061423,NA,NA,NA
15061342,NA,NA,NA
15061416,NA,NA,NA
15061521,NA,NA,NA
15061475,NA,NA,NA
15060039,NA,NA,NA
15061283,NA,NA,NA
15061447,NA,NA,NA
15061215,NA,NA,NA
15061479,NA,NA,NA
15061952,NA,NA,NA
15061535,NA,NA,NA
15062344,NA,NA,NA
15061422,NA,NA,NA
15061928,NA,NA,NA
15061390,NA,NA,NA
15061302,NA,NA,NA
15061424,30,328,32
15061364,NA,NA,NA
15061490,NA,NA,NA
15061517,NA,NA,NA
15061518,NA,NA,NA
15061814,NA,NA,NA
15061384,33,324,31
15061491,28,345,30
15062137,28,345,30
15061523,23,333,29
15061579,22,344,27
15062357,22,344,27
15061284,NA,NA,NA
15062144,36,346,42
15061258,23,333,29
15061385,23,333,29
15061487,NA,NA,NA
15061492,28,345,30
15062105,22,344,27
15061493,NA,NA,NA
15061271,36,346,42
15061495,NA,NA,NA
15061265,NA,NA,NA
15060070,33,324,31
15061536,22,344,27
15061546,22,344,27
15061336,NA,NA,NA
15061453,NA,NA,NA
15061626,22,344,27
15061645,NA,NA,NA
15062108,28,345,30
15061478,33,324,31
15061603,22,344,27
15062094,38,334,43
15061419,33,324,31
15061459,NA,NA,NA
15061566,22,344,27
15061498,NA,NA,NA
15061927,58,322,43
15061259,33,324,31
15061966,NA,NA,NA
15061396,22,344,27
15061926,NA,NA,NA
15061391,NA,NA,NA
15061963,NA,NA,NA
15061712,NA,NA,NA
15061619,36,346,42
15061778,28,345,30
15061953,22,344,27
15061937,NA,NA,NA
15061610,NA,NA,NA
15061329,39,321,36
15061463,NA,NA,NA
15061662,NA,NA,NA
15062150,NA,NA,NA
15061533,NA,NA,NA
15061355,NA,NA,NA
15061542,NA,NA,NA
15061609,23,333,29
15060797,NA,NA,NA
15061967,28,345,30
15061961,22,344,27
15062091,NA,NA,NA
15061550,NA,NA,NA
15061968,NA,NA,NA
15061454,NA,NA,NA
15061476,NA,NA,NA
15061580,NA,NA,NA
15061730,NA,NA,NA
15061633,28,345,30
15061731,NA,NA,NA
15061904,NA,NA,NA
15061930,NA,NA,NA
15062107,NA,NA,NA
15061702,NA,NA,NA
15060122,NA,NA,NA
15061768,NA,NA,NA
15060138,NA,NA,NA
15061280,NA,NA,NA
15061723,NA,NA,NA
15062153,NA,NA,NA
15061676,NA,NA,NA
15061588,NA,NA,NA
15061677,36,346,42
15061578,NA,NA,NA
15062126,22,344,27
15061762,NA,NA,NA
15061729,NA,NA,NA
15061784,NA,NA,NA
15061690,36,346,42
15061689,36,346,42
15061771,22,344,27
15061718,NA,NA,NA
15061777,NA,NA,NA
15061946,NA,NA,NA
15061761,NA,NA,NA
15061458,NA,NA,NA
15062151,NA,NA,NA
15060467,NA,NA,NA
15061430,NA,NA,NA
15062338,NA,NA,NA
15061380,NA,NA,NA
15062109,NA,NA,NA
15062098,NA,NA,NA
15062368,NA,NA,NA
15061324,NA,NA,NA
15061334,NA,NA,NA
15062348,NA,NA,NA
15061826,NA,NA,NA
15061389,NA,NA,NA
15061577,36,328,37
15062139,NA,NA,NA
15061538,22,344,27
15061417,26,342,50
15061413,28,345,30
15061949,NA,NA,NA
15061297,11,318,28
15060110,NA,NA,NA
15062358,NA,NA,NA
15061631,22,344,27
15060964,NA,NA,NA
15062349,NA,NA,NA
15061544,22,344,27
15061704,36,346,42
15060072,NA,NA,NA
15061948,NA,NA,NA
15060100,NA,NA,NA
15061317,NA,NA,NA
15061122,NA,NA,NA
15061007,NA,NA,NA
15061340,NA,NA,NA
15061312,NA,NA,NA
15060114,NA,NA,NA
15061345,NA,NA,NA
15061350,NA,NA,NA
15060420,NA,NA,NA
15062373,NA,NA,NA
15062130,NA,NA,NA
15061287,NA,NA,NA
15061376,NA,NA,NA
15061289,NA,NA,NA
15061365,NA,NA,NA
15062118,NA,NA,NA
15061213,NA,NA,NA
15060027,NA,NA,NA
15061286,NA,NA,NA
15061367,NA,NA,NA
15061421,NA,NA,NA
15061489,NA,NA,NA
15061678,NA,NA,NA
15061686,NA,NA,NA
15061256,33,324,31
15061260,NA,NA,NA
15061488,NA,NA,NA
15061651,NA,NA,NA
15061738,NA,NA,NA
15062350,NA,NA,NA
15062366,NA,NA,NA
15060112,NA,NA,NA
15061649,NA,NA,NA
15061292,33,10,43
15061357,38,334,43
15062138,22,344,27
15061296,NA,NA,NA
15061338,23,333,29
15062119,36,346,42
15062370,22,344,27
15061772,NA,NA,NA
15061943,36,346,42
15062145,NA,NA,NA
15061933,NA,NA,NA
15062372,NA,NA,NA
15061688,NA,NA,NA
15061916,NA,NA,NA
15062351,NA,NA,NA
15061526,NA,NA,NA
15061894,NA,NA,NA
15061397,NA,NA,NA
15062331,NA,NA,NA
15061751,NA,NA,NA
15061530,NA,NA,NA
15061648,NA,NA,NA
15062347,NA,NA,NA
15060190,NA,NA,NA
15061515,NA,NA,NA
15061262,NA,NA,NA
15061319,NA,NA,NA
15061556,NA,NA,NA
15062102,NA,NA,NA
15061369,NA,NA,NA
15061965,NA,NA,NA
15061684,NA,NA,NA
15061789,NA,NA,NA
15061586,NA,NA,NA
15061485,NA,NA,NA
15061560,NA,NA,NA
15061717,NA,NA,NA
15061601,NA,NA,NA
15061605,NA,NA,NA
15061724,NA,NA,NA
15062039,NA,NA,NA
15061808,NA,NA,NA
15061482,NA,NA,NA
15061551,NA,NA,NA
15061437,NA,NA,NA
15061239,NA,NA,NA
15061277,NA,NA,NA
15061261,NA,NA,NA
15062074,NA,NA,NA
15061969,NA,NA,NA
15061915,NA,NA,NA
15061378,NA,NA,NA
15061776,NA,NA,NA
15061962,NA,NA,NA
15060383,NA,NA,NA
15061785,NA,NA,NA
15062071,NA,NA,NA
15061356,NA,NA,NA
15061687,36,346,42
15062046,NA,NA,NA
15060320,NA,NA,NA
15060120,NA,NA,NA
15062100,NA,NA,NA
15062050,NA,NA,NA
15061331,NA,NA,NA
15061940,NA,NA,NA
15062359,NA,NA,NA
15061608,NA,NA,NA
15061912,NA,NA,NA
15061445,NA,NA,NA
15061567,NA,NA,NA
15061481,NA,NA,NA
15061435,NA,NA,NA
15061767,NA,NA,NA
15061763,NA,NA,NA
15061349,NA,NA,NA
15061500,NA,NA,NA
15061303,NA,NA,NA
15062142,NA,NA,NA
15061813,NA,NA,NA
15060345,NA,NA,NA
15061290,NA,NA,NA
15061944,NA,NA,NA
15061011,NA,NA,NA
15061499,NA,NA,NA
15061255,NA,NA,NA
15060313,NA,NA,NA
15061443,NA,NA,NA
15061958,NA,NA,NA
15061264,NA,NA,NA
15061653,NA,NA,NA
15061313,NA,NA,NA
15061637,NA,NA,NA
15062371,NA,NA,NA
15061941,NA,NA,NA
15061638,NA,NA,NA
15061665,NA,NA,NA
15060909,NA,NA,NA
15061576,NA,NA,NA
15061236,NA,NA,NA
15062067,NA,NA,NA
15061540,NA,NA,NA
15061561,NA,NA,NA
15061568,NA,NA,NA
15061305,NA,NA,NA
15061358,NA,NA,NA
15062339,NA,NA,NA
15061352,NA,NA,NA
15061709,NA,NA,NA
15061669,NA,NA,NA
15062080,NA,NA,NA
15061377,NA,NA,NA
15061742,NA,NA,NA
15061945,NA,NA,NA
15061335,NA,NA,NA
15061929,NA,NA,NA
15062123,NA,NA,NA
15061323,NA,NA,NA
15061554,NA,NA,NA
15061501,NA,NA,NA
15061642,NA,NA,NA
15061392,NA,NA,NA
15062334,NA,NA,NA
15060191,NA,NA,NA
15061400,NA,NA,NA
15061735,NA,NA,NA
15060214,NA,NA,NA
15061682,NA,NA,NA
15061320,NA,NA,NA
15062360,NA,NA,NA
15061766,NA,NA,NA
15061744,NA,NA,NA
15061629,NA,NA,NA
15062353,NA,NA,NA
15062354,NA,NA,NA
15061461,NA,NA,NA
15061522,NA,NA,NA
15060570,NA,NA,NA
15061668,NA,NA,NA
15061273,NA,NA,NA
15061524,NA,NA,NA
15061508,NA,NA,NA
15061790,NA,NA,NA
15060050,NA,NA,NA
15061628,NA,NA,NA
15061612,NA,NA,NA
15061300,NA,NA,NA
15060081,NA,NA,NA
15061759,NA,NA,NA
15061418,36,346,42
15061420,NA,NA,NA
15061647,NA,NA,NA
15061764,NA,NA,NA
15061797,NA,NA,NA
15060188,NA,NA,NA
15061627,NA,NA,NA
15061528,NA,NA,NA
15061494,NA,NA,NA
15061788,NA,NA,NA
15062115,NA,NA,NA
15061441,NA,NA,NA
15061226,NA,NA,NA
15062114,NA,NA,NA
15062367,NA,NA,NA
15061705,NA,NA,NA
15061799,NA,NA,NA
15062333,NA,NA,NA
15061757,NA,NA,NA
15062063,NA,NA,NA
15061934,NA,NA,NA
15061666,NA,NA,NA
15061439,NA,NA,NA
15061622,NA,NA,NA
15061293,NA,NA,NA
15061368,NA,NA,NA
15061908,NA,NA,NA
15061295,33,324,31
15062092,NA,NA,NA
15061737,NA,NA,NA
15061736,NA,NA,NA
15060082,NA,NA,NA
15061800,NA,NA,NA
15062103,NA,NA,NA
15061414,36,346,42
15061563,NA,NA,NA
15061462,NA,NA,NA
15060025,NA,NA,NA
15061539,28,345,30
15061733,NA,NA,NA
15062069,34,316,33
